end-of-line eol endline line-end end-of-string new-line end-line linefeed carriage-return line-feed cr+lf crlf cr-lf end-of-record end-of-text end-of-message line-ending newline line-continuation end-of-data #13#10
inherited inheriting inhereted overridden inherits inherit derived overriden deriving inhering herited derives inheritable inherting inherite subclassed descended inheritting inherites instantiated inhereting

aforge aforge.net emgucv directshow.net emgu opencvsharp accord.net naudio gpuimage emgu.cv writeablebitmapex cimg libtiff.net freeimage directshownet javacv mp4parser zxing.net clearcanvas bass.net soundtouch

raw-types asinstanceof rawtypes strongly-typing supresswarnings englishporterfilterfactory scriptlets suppresswarning suppresswarnings protoincludeattribute class_variable_get forcediscriminator thread.stop urllib.parse.urljoin ca1006 raw-type twig_filter_method supresswarning defaultnamingstrategy generics class.cast

reducers mappers reducer executors shards datanodes replicas partitions rdds workers slaves consumers goroutines subtasks cores producers actors jobs inputsplits schedulers neurons

jlabel jpanel jbutton jtextarea jtextfield jframe jtextpane jlist jscrollpane picturebox jcombobox textview scrollpane jcomponent qlabel uilabel jtabbedpane mouselistener jlabels jmenubar jlayeredpane

effort efforts hassle effort. money headache overhead efford investment headaches burden pain frustration effor improvement complexity brainpower boilerplate legwork patience incentive

jsbn crypto-js sjcl tjw as3crypto libtommath botan cryptojs jssha crypto++ oauthsimple bouncecastle polarssl openpgpjs password_compat jjwt gsmcomm bcrypt.net pidcrypt dcpcrypt curve25519

console.log console.debug nslog console.dir println console.info system.out.println var_dump print_r console.writeline console.warn util.inspect debug.print logger.log json.stringify request.responsetext console.trace response.write document.write console.error data.d

detailview detailviewcontroller masterview tableviewcontroller masterviewcontroller uitableviewcontroller mainview firstview mainviewcontroller splitviewcontroller secondviewcontroller uipicker collectionview pickerview collectionviewcontroller tableview firstviewcontroller tabbarcontroller rootview pageviewcontroller splitview

lowercase lower-case uppercase upper-case capital lowecase capitalized lowercase. lowercased upercase titlecase camelcase upper- uppercased non-capital a-z captial upper-cased lower-cased capitals smallcase

actionview missingtemplate assettaghelper abstractcontroller applicationhelper actioncontroller assetpaths templateerror render_to_string base.field_error_proc sanitizehelper base.new loginbuttons numberhelper missinghelpererror main_app rescues partialloop formradio page.ss forem

subshell sub-shell subshells sub-process subprocess sub-shells shell scriptblock my_command nohup sub-make some_command cmd.exe subprocess.popen subprocess.call os.system popen goroutine csh execvp while-loop

captcha recaptcha capcha captchas botdetect capthca csrf re-captcha gravatar captha catpcha captch confirmation securimage honeypot validation signup captcha.php password akismet verification

try-catch try...catch try..catch try-except try..except try...except try-finally try...finally try..finally try-catch-finally trycatch do-catch try-catch-block if-else begin..end switch-case dispatch_async begin...end try-with-resources -block withtransaction

uicollectionviewcell tableviewcell uitableviewcell collectionviewcell uicollectionviewcontroller uitablecell uicollectionview uitableviewcontroller uibarbuttonitem tablecell uibutton collectionview uiview tableviewcontroller headerview uitableviewheaderfooterview customview customcell uipickerview containerview uitoolbar

lumberjack cocoalumberjack log4cxx nslogger xcglogger log4cpp bunyan serilog log4cplus log4php log4r asl libcomponentlogging pantheios log4js mailcore log4c cocoaasyncsocket coremidi zxingobjc nlog

challenge-response token-based password-based public-key key-exchange gssapi x-facebook-platform certificate-based two-factor digest-md5 key-based multi-factor session-based gss-api openid-connect cram-md5 client-cert ntml single-sign-on cookie-based client-certificate

descriptor descriptors fd os.fdopen fileno file-descriptor fdopen filedescriptor desciptor descripter decriptor descriptor. filehandle sock inode descriptors. stdout_fileno fcntl descriptior stdin_fileno mmap

html-escape html-encode url-encode re-escape un-escape htmlencoded html-escaped unescape percent-encode sanitise -escaped html-encoded html-encoding htmlencode esacpe uri-encode html-escaping percent-escape xml-escape html-safe xml-encode

printing outputting echoing printed print outputing prints displaying dumping inputting spitting appending priting entering returning filling grabbing echo-ing prining truncating feeding

atmega atmega16 atmega328p atmega32 atmega168 atmega328 atmega8 attiny 328p mcu atmega128 8051 micro-controller stm32f103 msp430 stm32 atmega2560 pic24 lpc1768 atmega32u4 microcontroller

hashref hash-map arrayref hashrefs sub-hash pointer-to-pointer kvp 2-tuple dict arrayrefs namedtuple my_hash coderef dictionnary typeglob key-value-pair 3-tuple pyobject reflect.value tupple pairlist

jstat jmap jstack jvisualvm -gcutil -gc jcmd visualvm massif umdh jconsole eeheap jhat perfview jps dstat callgrind oprofile truss vmmap gprof

use-case usecase scenario use-cases situation circumstance situation. requirement methodology requirements scenario. approach purpose scenerio strategy reasoning motivation case. needs. usecases scenarios

modifier modifiers modifer keyword specifier modificator qualifier modifier. -modifier pcre_dotall pcre_utf8 pcre_caseless pcre_ungreedy pattern.multiline flag quantifier file_tree re.s dotall strictfp prefix

pickle cpickle dill pickling pickled pickles unpickle stringio configparser storable numpy.save bytesio jsonpickle json.loads pickle.dumps json.dump shelve nskeyedarchiver json.load json.dumps pyyaml

dedicated centralized dedicate separate central centralised seperate specialized virtual full-blown 24x7 standalone full-fledged multi-instance single-server virtualised multi co-located general-purpose public-facing hetzner

bouncycastle spongycastle jasypt bouncy pkcs11 javax.crypto cryptojs zip4j crypto-js pemreader iaik crypto++ opensaml capicom sunjce rxtx pkcs#11 openssl.net as3crypto pycrypto jce

cursors subqueries recordsets queries sub-queries resultsets preparedstatements subselects joins transactions ctes dbs datareaders databases sub-selects tables indexes datasets clauses sqlconnections mutexes

stream streams buffer stream. inputstream datastream pipe outputstream strem memorystream #0.1 stdin muxer channel mjpeg bytestream readstream non-seekable stream.. socket mjpg

startswith endswith string.contains startwith string.startswith .contains indexof .startswith str.startswith equalsignorecase beginswith string.endswith .indexof lastindexof regex.ismatch string.indexof str.contains starts-with .tolowercase tolowercase string.replaceall

nsopenglview nsview nsimageview eaglview nscell nsscrollview nswindow mkoverlayview nsbox nsviewcontroller nsclipview ikimageview nswindowcontroller nspopover nscollectionviewitem scnview nscollectionview ikimagebrowserview glkview nstablecellview nstextfieldcell

chip mcu microcontroller fpga chipset micro-controller atmega328p chips infineon stm32 microprocessor atmega lpc1768 atmega328 ft232rl pic24 transceiver 328p lpc1788 motherboard cpld

jackrabbit modeshape opencmis jcr spring-data geronimo openjpa manifoldcf cmis infinispan cayenne aries openejb ofbiz alfresco ehcache gridgain deltaspike spring-data-jpa shiro commons-configuration

quickaction popupwindow alertbuilder setondismisslistener alertdialog.builder listpopupwindow datepickerdialog popupmenu fragmentdialog customdialog dialogbuilder timepickerdialog setoncancellistener alertdialogbuilder file-chooser setsinglechoiceitems alertdialogs dialogbox quickcontact dissmis snackbar

agent agents rundeck server jenkins agent. winrm profile nrpe wmsvc daemon ua snmpd hostapd service salt-master agentx workstation user-agent openvpn sshd

substring sub-string substr substrings indexof string charindex instr string.substring patindex strpos word lastindexof occurrence regexp sentence charat preg_match gsub character replaceall

locks lock locking mutexes locks. lock. writelock mutex write-lock semaphores read-lock spinlocks synchronization mutices wakelocks transactions locking. mutexs lock1 contention synchronizations

system.componentmodel system.componentmodel.dataannotations system.windows.controls system.windows.input microsoft.win32 system.web.ui.webcontrols system.web.ui system.runtime.interopservices system.windows.media system.collections.objectmodel system.security.principal system.windows.media.imaging system.componentmodel.dataannotations.schema system.xml.serialization system.globalization system.collections.generic system.windows.automation system.reflection system.web.script.serialization system.web.ui.htmlcontrols system.dynamic

phpstorm webstorm rubymine pycharm netbeans vscode phpstrom webstrom xdebug resharper r# komodo pydev intellij clion geany aptana eclipse phped ide textmate

surround enclose replace precede delimit encase surrounded preceed wrap encasing surrounds surrounding prepend substitute relace enclosed suround sorround escape annotate double-escape

json-simple org.json json-lib org.json.simple google-gson json.simple net.sf.json flexjson lift-json json4s javax.json jakson unirest fastjson opencsv jsoncpp simple-json genson jsonsimple json-path jsonlib

itemcontainerstyle headertemplate itemtemplate itemtemplateselector contenttemplate elementstyle itemspaneltemplate itemspanel controltemplate groupstyle itemstemplate listbox.itemtemplate celltemplate rowstyle listbox.itemcontainerstyle itemscontrol.itemtemplate contentpresenter listboxitem datatrigger listview.itemcontainerstyle itemspresenter

unhandled unhanded unhandeled status_access_violation unhandle 0xc0000008 thrown argumentoutofrange unhadled accessviolation system.reflection.targetinvocationexception 0xc000027b indexoutofrange un-handled uncatched objectdisposed arrayoutofbounds unhandeld first-chance 0xc000041d un-caught

system.exit environment.exit sys.exit os._exit process.exit system.environment.exit pthread_exit os.exit application.current.shutdown platform.exit f.seek handler.sendemptymessage _exit seekorigin.begin postquitmessage exitprocess stream.seek imm.hidesoftinputfromwindow process.waitfor thread_set_state killprocess
